PlayerName,Foot,Position,AWR,DWR,OVR,PAC,SHO,PAS,DRI,DEF,PHY,SM,DIV,POS,HAN,REF,KIC,SPD
Ivan Gomez,R,CDM,M,M,70,65,52,61,69,68,69,3,-1,-1,-1,-1,-1,-1
Favio Alvarez,R,CAM,H,M,70,70,63,67,71,31,68,4,-1,-1,-1,-1,-1,-1
Marco Thiede,R,RB,M,M,70,74,48,66,68,63,67,2,-1,-1,-1,-1,-1,-1
Damian Lemos,R,CDM,L,H,70,63,38,60,61,69,79,3,-1,-1,-1,-1,-1,-1
Norberto Briasco,R,ST,M,M,70,80,68,60,73,23,69,3,-1,-1,-1,-1,-1,-1
Pedro Perlaza,R,RB,H,M,70,82,44,64,67,63,70,3,-1,-1,-1,-1,-1,-1
Jhon Mosquera,L,LM,H,L,70,77,67,65,69,44,70,3,-1,-1,-1,-1,-1,-1
Panagiotis Tachtsidis,L,CM,M,M,70,46,60,73,63,66,75,3,-1,-1,-1,-1,-1,-1
Kamal Sowah,L,CF,H,H,70,81,69,65,71,44,63,3,-1,-1,-1,-1,-1,-1
Jan Gyamerah,R,RB,M,M,70,78,44,60,69,67,67,3,-1,-1,-1,-1,-1,-1
Danilo Pereira Da Silva,R,ST,M,L,70,76,70,58,73,22,65,3,-1,-1,-1,-1,-1,-1
Diego de Buen,R,CDM,H,H,70,56,65,67,62,65,75,2,-1,-1,-1,-1,-1,-1
Dave Bulthuis,L,CB,M,M,70,49,37,52,43,69,84,2,-1,-1,-1,-1,-1,-1
Maximiliano Romero,R,ST,M,M,70,77,71,49,64,31,71,3,-1,-1,-1,-1,-1,-1
Kyle Duncan,R,RB,H,M,70,91,46,56,67,67,70,2,-1,-1,-1,-1,-1,-1
Franklin Guerra,R,CB,L,H,70,59,43,53,60,70,72,2,-1,-1,-1,-1,-1,-1
Alvaro Jimenez,R,RM,H,M,70,79,67,66,69,46,64,3,-1,-1,-1,-1,-1,-1
Anderson Plata,R,RM,H,M,70,87,66,59,71,42,69,3,-1,-1,-1,-1,-1,-1
Alhassan Yusuf,R,CDM,M,H,70,81,44,64,68,64,74,3,-1,-1,-1,-1,-1,-1
Lucas Gonzalez,R,CM,H,H,70,70,57,72,73,58,65,3,-1,-1,-1,-1,-1,-1
Tomas Alarcon,R,CDM,M,H,70,66,50,59,64,69,75,2,-1,-1,-1,-1,-1,-1
Stefan Hierlander,R,RM,M,M,70,68,65,68,70,65,72,3,-1,-1,-1,-1,-1,-1
Michael Ihiekwe,R,CB,M,H,70,70,36,44,57,69,79,2,-1,-1,-1,-1,-1,-1
Franco Mussis,R,CDM,M,H,70,67,61,67,66,68,76,2,-1,-1,-1,-1,-1,-1
Randall Leal,R,LM,M,M,70,68,63,68,73,38,50,3,-1,-1,-1,-1,-1,-1
Dario Aimar,R,CB,L,M,70,64,29,47,51,71,72,2,-1,-1,-1,-1,-1,-1
Romario Caicedo,R,RB,H,M,70,77,48,64,63,64,72,3,-1,-1,-1,-1,-1,-1
Vladimir Lorona,R,RB,H,H,70,77,37,59,69,66,71,3,-1,-1,-1,-1,-1,-1
Steven Taylor,R,CB,M,H,70,52,39,59,54,69,78,2,-1,-1,-1,-1,-1,-1
Stian Rode Gregersen,R,CB,M,H,70,75,44,46,45,67,82,2,-1,-1,-1,-1,-1,-1
Antonio Rios,R,CDM,M,M,70,52,54,64,61,67,73,2,-1,-1,-1,-1,-1,-1
Ryan Woods,R,CDM,L,H,70,72,54,68,73,63,69,3,-1,-1,-1,-1,-1,-1
Marvin Mehlem,R,CAM,M,M,70,75,59,66,75,49,60,3,-1,-1,-1,-1,-1,-1
Luke Thomas,L,LWB,H,H,70,76,42,62,66,66,66,2,-1,-1,-1,-1,-1,-1
Gary Hooper,R,ST,M,L,70,59,72,61,67,30,68,3,-1,-1,-1,-1,-1,-1
Juan Kaprof,R,ST,H,M,70,82,68,60,73,33,66,4,-1,-1,-1,-1,-1,-1
Felix Passlack,R,RM,H,H,70,71,60,67,71,65,75,3,-1,-1,-1,-1,-1,-1
Cedric Zesiger,L,CB,L,M,70,62,32,47,46,70,77,2,-1,-1,-1,-1,-1,-1
Dennis Johnsen,R,LW,M,L,70,80,60,67,72,32,59,4,-1,-1,-1,-1,-1,-1
Jacopo Dezi,R,CM,H,M,70,76,66,66,70,62,67,3,-1,-1,-1,-1,-1,-1
Victor Garcia,R,RB,H,M,70,79,40,59,70,64,70,2,-1,-1,-1,-1,-1,-1
Dong Kyung Lee,L,RM,M,M,70,76,61,69,69,57,66,4,-1,-1,-1,-1,-1,-1
Bruno Xadas,L,CAM,M,M,70,73,68,70,74,43,59,4,-1,-1,-1,-1,-1,-1
Reno Piscopo,R,LM,H,L,70,78,65,64,76,39,65,4,-1,-1,-1,-1,-1,-1
Jorge Marcos Pombo Escobar,R,ST,M,M,70,71,70,68,71,52,82,3,-1,-1,-1,-1,-1,-1
Maximiliano Olivera,L,LB,H,M,70,69,58,63,72,68,66,3,-1,-1,-1,-1,-1,-1
Melvin Bard,L,LB,M,M,70,78,48,63,71,64,69,3,-1,-1,-1,-1,-1,-1
Jesus Isijara,R,RM,H,M,70,71,63,66,71,47,65,3,-1,-1,-1,-1,-1,-1
Kalifa Coulibaly,R,ST,M,H,70,70,70,60,62,26,76,2,-1,-1,-1,-1,-1,-1
Diego Palacios,L,LB,H,M,70,75,33,60,68,65,66,3,-1,-1,-1,-1,-1,-1
Jadson,R,CB,M,M,70,61,30,40,42,71,74,2,-1,-1,-1,-1,-1,-1
Kevin Molino,R,CAM,H,M,70,72,69,66,74,49,67,3,-1,-1,-1,-1,-1,-1
Marvin Wanitzek,R,CM,M,M,70,71,60,73,72,53,66,3,-1,-1,-1,-1,-1,-1
Steven Alzate,R,CM,M,M,70,70,59,67,75,62,68,3,-1,-1,-1,-1,-1,-1
Montero Rubio,L,CB,M,M,70,61,29,52,60,71,67,2,-1,-1,-1,-1,-1,-1
Franco Russo,R,CB,M,M,70,64,30,48,48,73,71,2,-1,-1,-1,-1,-1,-1
Eldar Civic,L,LB,H,M,70,80,54,63,71,62,69,3,-1,-1,-1,-1,-1,-1
Brian Olivan Herrero,L,LB,H,M,70,73,56,59,68,65,76,3,-1,-1,-1,-1,-1,-1
Lewis O'Brien,L,CM,H,H,70,69,59,64,72,65,65,3,-1,-1,-1,-1,-1,-1
Leonardo Lopes de Souza,R,ST,H,M,70,71,72,56,68,31,65,4,-1,-1,-1,-1,-1,-1
Mbenza,R,RW,M,M,70,84,67,67,69,36,64,3,-1,-1,-1,-1,-1,-1
Cristobal Marquez Crespo,R,CDM,H,M,70,66,67,68,69,68,70,2,-1,-1,-1,-1,-1,-1
Facundo Sanchez,R,RB,H,M,70,84,60,61,69,65,68,3,-1,-1,-1,-1,-1,-1
Max Kilman,L,CB,L,M,70,58,42,59,62,70,74,2,-1,-1,-1,-1,-1,-1
Ricardo Ryller,R,CM,M,M,70,64,64,67,68,66,69,3,-1,-1,-1,-1,-1,-1
Kana-Biyik,R,CB,M,M,70,60,31,49,58,70,77,2,-1,-1,-1,-1,-1,-1
Yassine Benzia,R,CAM,M,M,70,66,68,70,73,45,60,4,-1,-1,-1,-1,-1,-1
Dominic Iorfa,R,CB,M,H,70,81,40,58,61,70,76,2,-1,-1,-1,-1,-1,-1
Walterson Silva,R,LM,H,M,70,72,70,65,73,31,67,3,-1,-1,-1,-1,-1,-1
Tatsuhiro Sakamoto,R,RM,H,M,70,73,66,67,71,40,60,3,-1,-1,-1,-1,-1,-1
Andreu Fontas Prat,L,CB,L,M,70,30,48,66,60,71,72,2,-1,-1,-1,-1,-1,-1
Jose Paradela,L,CAM,H,M,70,69,64,69,73,57,62,3,-1,-1,-1,-1,-1,-1
Gabadhino Mhango,R,ST,H,M,70,77,73,50,70,21,64,3,-1,-1,-1,-1,-1,-1
Simon Falette,L,CB,M,H,70,68,44,46,47,69,80,2,-1,-1,-1,-1,-1,-1
Nicolo Rovella,R,CM,M,M,70,67,49,68,73,62,64,3,-1,-1,-1,-1,-1,-1
Ubong Ekpai,R,RW,M,M,70,80,64,65,71,25,68,3,-1,-1,-1,-1,-1,-1
Juan Villar Vazquez,R,ST,M,M,70,89,68,67,71,36,71,3,-1,-1,-1,-1,-1,-1
Cesar Pinares,L,CAM,H,L,70,79,66,67,72,35,66,3,-1,-1,-1,-1,-1,-1
Lennart Thy,R,ST,H,M,70,73,69,63,67,46,74,3,-1,-1,-1,-1,-1,-1
Chima Okoroji,L,LB,H,L,70,79,32,62,69,64,61,2,-1,-1,-1,-1,-1,-1
Edgar Prib,L,CM,M,M,70,61,67,69,70,65,68,3,-1,-1,-1,-1,-1,-1
Se Jong Ju,R,CM,M,M,70,65,60,73,68,59,74,3,-1,-1,-1,-1,-1,-1
Edwin Velasco,L,LB,H,M,70,78,36,58,65,64,79,2,-1,-1,-1,-1,-1,-1
Carlens Arcus,R,RB,M,M,70,73,42,63,64,67,73,2,-1,-1,-1,-1,-1,-1
Gabriel Rojas,L,LB,M,M,70,80,44,64,62,63,67,3,-1,-1,-1,-1,-1,-1
Javier Martinez Calvo,R,CM,M,M,70,69,63,62,71,57,69,4,-1,-1,-1,-1,-1,-1
Bruno Lamas,L,CAM,M,M,70,67,63,69,72,48,61,3,-1,-1,-1,-1,-1,-1
Ezequiel Schelotto,R,RB,H,M,70,61,60,64,65,69,70,3,-1,-1,-1,-1,-1,-1
Ivan Pillud,R,RB,H,M,70,65,50,65,62,69,78,2,-1,-1,-1,-1,-1,-1
Steven Fortes,R,CB,L,M,70,34,41,54,49,70,80,2,-1,-1,-1,-1,-1,-1
Adolfo Gaich,R,ST,M,M,70,68,69,55,67,29,68,2,-1,-1,-1,-1,-1,-1
Chris Mavinga,L,CB,M,M,70,81,39,62,63,68,76,3,-1,-1,-1,-1,-1,-1
Sergi Samper Montana,R,CDM,M,M,70,41,43,66,66,66,68,3,-1,-1,-1,-1,-1,-1
Gadi Kinda,R,CM,H,M,70,78,60,66,77,57,61,4,-1,-1,-1,-1,-1,-1
Aitor Sanz Martin,R,CDM,M,H,70,55,61,71,66,64,72,2,-1,-1,-1,-1,-1,-1
Nicolas Colazo,L,LM,M,M,70,73,63,70,70,62,67,3,-1,-1,-1,-1,-1,-1
Stefan Simic,R,CB,M,H,70,45,27,47,56,72,70,2,-1,-1,-1,-1,-1,-1
Lautaro Valenti,L,CB,H,M,70,68,53,53,57,68,80,2,-1,-1,-1,-1,-1,-1
Christian Gro,R,CB,M,M,70,56,55,62,67,70,70,2,-1,-1,-1,-1,-1,-1
Alfie Mawson,R,CB,M,H,70,54,39,49,57,71,69,2,-1,-1,-1,-1,-1,-1
Stratos Svarnas,R,CB,L,H,70,73,36,50,50,70,76,2,-1,-1,-1,-1,-1,-1
Andreas Weimann,R,ST,H,H,70,81,69,62,70,45,70,3,-1,-1,-1,-1,-1,-1
Oscar Estupinan,L,ST,M,M,70,71,71,48,69,26,74,3,-1,-1,-1,-1,-1,-1
Enrique Perez Munoz,L,CAM,H,L,70,61,59,67,75,60,58,4,-1,-1,-1,-1,-1,-1
Robert Bozenik,R,ST,H,M,70,75,70,62,69,32,74,3,-1,-1,-1,-1,-1,-1
Emiliano Papa,L,LB,M,M,70,70,47,72,70,65,65,3,-1,-1,-1,-1,-1,-1
James Collins,R,ST,H,H,70,66,69,55,66,41,82,2,-1,-1,-1,-1,-1,-1
Jorge Figal,R,CB,H,H,70,69,43,61,68,69,75,3,-1,-1,-1,-1,-1,-1
Veysel Sar,R,CB,M,H,70,60,54,60,64,71,77,2,-1,-1,-1,-1,-1,-1
Zymer Bytyqi,R,LW,M,L,70,79,67,67,71,34,69,4,-1,-1,-1,-1,-1,-1
Christian Kuhlwetter,R,ST,H,M,70,76,71,61,71,34,73,3,-1,-1,-1,-1,-1,-1
Knowledge Musona,R,CAM,M,L,70,74,70,68,73,38,64,3,-1,-1,-1,-1,-1,-1
David Costas Cordal,R,CB,M,M,70,69,43,61,60,72,66,2,-1,-1,-1,-1,-1,-1
Aitor Bunuel Redrado,R,RB,H,M,70,82,37,59,68,62,70,2,-1,-1,-1,-1,-1,-1
Sofiane Bendebka,R,CM,H,M,70,74,65,66,71,58,72,3,-1,-1,-1,-1,-1,-1
Daniel Sanchez Ayala,R,CB,M,M,70,57,41,50,61,70,73,2,-1,-1,-1,-1,-1,-1
Luca Marrone,R,CB,M,H,70,53,58,71,71,70,71,3,-1,-1,-1,-1,-1,-1
Roberto Antonio Correa Silva,R,RB,M,M,70,73,43,59,63,67,74,2,-1,-1,-1,-1,-1,-1
Alex Ferrari,R,CB,L,H,70,66,32,51,63,72,70,2,-1,-1,-1,-1,-1,-1
Sekou Gassama,L,ST,M,M,70,63,71,47,61,32,76,2,-1,-1,-1,-1,-1,-1
Florent Hanin,L,LB,H,H,70,79,44,66,68,65,72,3,-1,-1,-1,-1,-1,-1
Thulani Hlatshwayo,R,CB,M,H,70,59,29,48,37,70,73,2,-1,-1,-1,-1,-1,-1
Alexis De Sart,R,CM,H,H,70,67,64,70,70,68,64,3,-1,-1,-1,-1,-1,-1
Mohamed Buya Turay,R,ST,H,M,70,89,67,51,72,28,74,3,-1,-1,-1,-1,-1,-1
Jose Antonio dos Santos Junior,R,ST,M,L,70,70,70,52,68,26,74,3,-1,-1,-1,-1,-1,-1
Danny Batth,R,CB,L,H,70,32,23,42,39,70,83,2,-1,-1,-1,-1,-1,-1
Makhtar Gueye,R,ST,H,L,70,63,73,54,61,29,80,2,-1,-1,-1,-1,-1,-1
Geoffry Hairemans,L,RM,H,M,70,45,68,75,70,47,67,3,-1,-1,-1,-1,-1,-1
Clifford Aboagye,R,CM,M,M,70,76,58,72,75,52,44,3,-1,-1,-1,-1,-1,-1
Rodrigo Tarin Higon,R,CB,M,M,70,76,36,52,61,70,71,2,-1,-1,-1,-1,-1,-1
Eddie Segura,R,CB,L,H,70,63,30,49,57,69,76,2,-1,-1,-1,-1,-1,-1
Angel Cardozo Lucena,R,CM,M,M,70,66,55,68,70,67,62,3,-1,-1,-1,-1,-1,-1
Youssouf M'Changama,R,CAM,H,H,70,84,61,69,73,63,73,3,-1,-1,-1,-1,-1,-1
Mohamed Kanno,R,CDM,H,M,70,72,69,68,70,67,75,3,-1,-1,-1,-1,-1,-1
Miles Robinson,R,CB,M,M,70,81,33,47,53,69,76,2,-1,-1,-1,-1,-1,-1
Shinnosuke Hatanaka,R,CB,M,M,70,48,36,55,55,69,75,2,-1,-1,-1,-1,-1,-1
Marc Roberts,R,CB,L,M,70,57,24,41,44,70,72,2,-1,-1,-1,-1,-1,-1
Piero Hincapie,L,CB,M,M,70,75,27,58,60,70,69,2,-1,-1,-1,-1,-1,-1
Alexander Tettey,R,CDM,L,H,70,55,63,63,62,71,76,2,-1,-1,-1,-1,-1,-1
Jacopo Sala,R,RB,H,M,70,67,60,68,69,68,69,3,-1,-1,-1,-1,-1,-1
Jimmy Giraudon,R,CB,M,M,70,53,36,58,58,71,72,2,-1,-1,-1,-1,-1,-1
Aaron Connolly,R,ST,M,L,70,75,70,50,71,20,64,2,-1,-1,-1,-1,-1,-1
Victor Mollejo Carpintero,L,LM,H,H,70,79,65,65,69,37,64,3,-1,-1,-1,-1,-1,-1
Dion Cools,R,RB,H,M,70,75,57,65,67,64,76,3,-1,-1,-1,-1,-1,-1
Armando Broja,R,ST,M,M,70,75,68,53,70,29,70,3,-1,-1,-1,-1,-1,-1
Aiden McGeady,R,LM,H,M,70,70,68,69,74,44,55,5,-1,-1,-1,-1,-1,-1
Luis Cardozo,R,CB,M,M,70,77,35,46,55,71,73,2,-1,-1,-1,-1,-1,-1
Juan Jose Nieto Zarzoso,R,RB,H,L,70,79,63,64,68,63,67,3,-1,-1,-1,-1,-1,-1
Cameron Devlin,R,CDM,H,H,70,69,54,62,68,65,71,2,-1,-1,-1,-1,-1,-1
Denis Alibec,L,ST,M,L,70,68,72,65,70,40,81,3,-1,-1,-1,-1,-1,-1
Jordan Hugill,R,ST,H,H,70,67,68,54,65,38,84,3,-1,-1,-1,-1,-1,-1
Matthieu Udol,L,LB,H,M,70,69,42,62,69,69,69,2,-1,-1,-1,-1,-1,-1
Robson Alves de Barros,R,CB,L,M,70,73,41,55,60,71,69,2,-1,-1,-1,-1,-1,-1
Santiago Sosa,R,CDM,M,M,70,61,57,61,65,66,75,2,-1,-1,-1,-1,-1,-1
Bart van Hintum,L,CB,H,M,70,52,53,70,64,71,68,2,-1,-1,-1,-1,-1,-1
Anderson Esiti,R,CDM,L,H,70,56,46,57,57,71,81,2,-1,-1,-1,-1,-1,-1
Genta Miura,R,CB,M,M,70,51,31,50,47,72,75,2,-1,-1,-1,-1,-1,-1
Sam Morsy,R,CDM,M,H,70,66,57,63,70,63,79,3,-1,-1,-1,-1,-1,-1
Omar Marmoush,R,ST,H,L,70,86,68,59,76,29,54,4,-1,-1,-1,-1,-1,-1
Guillaume Hoarau,R,ST,M,L,70,37,72,67,66,43,69,3,-1,-1,-1,-1,-1,-1
Alexis Perez,L,CB,M,M,70,69,33,53,58,68,76,2,-1,-1,-1,-1,-1,-1
Eric Larsson,R,RB,H,M,70,65,54,66,65,64,79,2,-1,-1,-1,-1,-1,-1
Gerso Fernandes,L,LW,H,M,70,92,65,61,73,41,52,3,-1,-1,-1,-1,-1,-1
Eric Curbelo de la Fe,R,CB,H,M,70,73,34,54,62,72,68,2,-1,-1,-1,-1,-1,-1
Ivan Jaime Pajuelo,R,CAM,M,M,70,72,70,65,71,50,60,3,-1,-1,-1,-1,-1,-1
Omar Govea,R,CM,M,H,70,62,57,70,71,68,66,3,-1,-1,-1,-1,-1,-1
Anto Grgic,R,CM,M,M,70,60,68,74,66,64,72,3,-1,-1,-1,-1,-1,-1
Michel Ange Balikwisha,R,RW,H,M,70,82,68,63,73,17,60,3,-1,-1,-1,-1,-1,-1
Uwe Hunemeier,R,CB,M,H,70,36,47,60,55,72,64,2,-1,-1,-1,-1,-1,-1
Andres Herrera,R,RB,M,M,70,79,45,56,70,65,66,2,-1,-1,-1,-1,-1,-1
Viar Orn Kjartansson,R,ST,H,M,70,69,70,49,64,29,68,2,-1,-1,-1,-1,-1,-1
Ado Onaiwu,R,ST,H,L,70,85,70,54,65,38,71,2,-1,-1,-1,-1,-1,-1
Yanis Rahmani,L,LM,H,L,70,78,69,63,76,31,51,3,-1,-1,-1,-1,-1,-1
Lucas Gourna,R,CDM,M,H,70,64,52,64,67,67,68,2,-1,-1,-1,-1,-1,-1
Faris Haroun,R,CDM,H,H,70,43,53,62,56,72,76,3,-1,-1,-1,-1,-1,-1
Lys Mousset,R,ST,M,M,70,79,71,55,71,24,67,3,-1,-1,-1,-1,-1,-1
Sam McCallum,L,LWB,M,H,70,80,56,63,67,65,68,3,-1,-1,-1,-1,-1,-1
Francois Moubandje,L,LB,H,M,70,68,48,64,69,66,77,3,-1,-1,-1,-1,-1,-1
Jose Juan Vazquez,R,CM,M,M,70,70,53,67,66,69,68,2,-1,-1,-1,-1,-1,-1
Marcus Tavernier,L,RM,H,M,70,80,64,64,72,39,56,3,-1,-1,-1,-1,-1,-1
Godfred Donsah,R,CM,M,M,70,70,63,70,73,66,74,3,-1,-1,-1,-1,-1,-1
Lukas Klunter,R,CB,M,M,70,86,44,60,67,71,68,3,-1,-1,-1,-1,-1,-1
Mirko Maric,L,ST,M,M,70,68,70,52,64,28,72,2,-1,-1,-1,-1,-1,-1
Guillaume Gillet,R,CDM,H,H,70,52,66,66,67,69,75,3,-1,-1,-1,-1,-1,-1
Roberto Lopez Alcaide,L,CAM,M,M,70,60,70,71,71,16,57,3,-1,-1,-1,-1,-1,-1
Birama Toure,R,CDM,L,H,70,40,52,63,65,68,77,2,-1,-1,-1,-1,-1,-1
Gaston Togni,L,LWB,H,M,70,81,65,66,72,62,69,3,-1,-1,-1,-1,-1,-1
Ezequiel Bullaude,R,CAM,M,M,70,79,68,63,73,32,64,3,-1,-1,-1,-1,-1,-1
Greg Cunningham,L,LWB,M,H,70,67,54,64,68,69,73,3,-1,-1,-1,-1,-1,-1
Pascal Stenzel,R,CB,M,M,70,61,59,65,65,72,68,3,-1,-1,-1,-1,-1,-1
Eric Meza,R,RWB,H,H,70,77,49,59,69,63,68,2,-1,-1,-1,-1,-1,-1
Joshua Brenet,R,LB,H,M,70,79,36,61,69,67,66,3,-1,-1,-1,-1,-1,-1
Yairo Moreno,L,LB,H,M,70,78,58,64,71,65,65,3,-1,-1,-1,-1,-1,-1
Jorge Cuenca Barreno,L,CB,M,M,70,59,35,55,49,71,67,2,-1,-1,-1,-1,-1,-1
Saud Abdulhamid,R,RB,M,M,69,84,44,58,66,61,65,2,-1,-1,-1,-1,-1,-1
Juan Pedro Ramirez Lopez,R,CB,L,H,69,51,35,54,48,66,78,2,-1,-1,-1,-1,-1,-1
Arthur Caike do Nascimento Cruz,R,LM,H,L,69,79,71,65,69,28,69,3,-1,-1,-1,-1,-1,-1
Sivert Heltne Nilsen,R,CDM,M,H,69,57,53,62,63,67,78,2,-1,-1,-1,-1,-1,-1
Alonso Escoboza,L,LB,H,M,69,73,65,69,71,61,66,3,-1,-1,-1,-1,-1,-1
Anderson Jose Lopes de Souza,L,ST,M,M,69,89,69,60,67,30,77,4,-1,-1,-1,-1,-1,-1
Mateo Retegui,R,ST,M,L,69,61,68,52,65,33,72,2,-1,-1,-1,-1,-1,-1
Jaume Grau Ciscar,L,CDM,M,M,69,61,55,68,65,66,62,2,-1,-1,-1,-1,-1,-1
Tiago Pagnussat,R,CB,M,M,69,49,45,45,42,67,78,2,-1,-1,-1,-1,-1,-1
Damian Lizio,R,LM,H,L,69,71,58,61,75,35,58,4,-1,-1,-1,-1,-1,-1
Min Kyu Joo,R,ST,H,M,69,64,71,55,64,50,79,3,-1,-1,-1,-1,-1,-1
Ivan Martin Nunez,L,RM,H,L,69,74,60,69,70,41,51,3,-1,-1,-1,-1,-1,-1
Bradley Johnson,L,CDM,L,H,69,49,68,64,66,68,77,3,-1,-1,-1,-1,-1,-1
Xiang Ji,R,RB,H,H,69,70,58,71,65,65,72,3,-1,-1,-1,-1,-1,-1
Emerson R. Santos,R,CB,L,M,69,74,59,50,58,70,71,2,-1,-1,-1,-1,-1,-1
Dario Maresic,R,CB,M,M,69,48,31,53,53,73,71,2,-1,-1,-1,-1,-1,-1
Juan Ignacio Mendez,R,CDM,H,H,69,70,62,67,71,67,70,3,-1,-1,-1,-1,-1,-1
Nicolas Mazzola,R,ST,M,M,69,50,70,57,65,36,81,2,-1,-1,-1,-1,-1,-1
Oriol Rosell Argerich,R,CDM,L,M,69,36,56,66,66,66,69,3,-1,-1,-1,-1,-1,-1
Ismaila Coulibaly,R,CM,H,H,69,80,65,64,72,63,68,4,-1,-1,-1,-1,-1,-1
Deivson Rogerio Da Silva,R,ST,H,M,69,52,71,63,66,29,71,3,-1,-1,-1,-1,-1,-1
Marco Rojas,R,LM,H,M,69,89,64,63,72,45,47,4,-1,-1,-1,-1,-1,-1
Facundo Piriz,R,CDM,L,H,69,53,45,64,58,69,76,2,-1,-1,-1,-1,-1,-1
Zhipeng Jiang,L,LB,H,H,69,75,57,69,67,64,66,3,-1,-1,-1,-1,-1,-1
Ondrej Pachlopnik,R,CAM,M,M,69,76,62,66,75,36,60,3,-1,-1,-1,-1,-1,-1
Anastasios Donis,R,ST,M,M,69,81,68,57,73,24,61,3,-1,-1,-1,-1,-1,-1
Umut Nayir,R,ST,H,L,69,57,69,45,63,23,73,2,-1,-1,-1,-1,-1,-1
Gabriel Gudino,R,RM,M,M,69,78,66,63,69,57,61,3,-1,-1,-1,-1,-1,-1
Federico Gattoni,R,CB,L,H,69,67,34,53,55,70,70,2,-1,-1,-1,-1,-1,-1
Victor Campuzano Bonilla,L,ST,H,L,69,79,69,59,71,19,65,3,-1,-1,-1,-1,-1,-1
Grant Hall,R,CB,M,M,69,61,39,48,46,69,70,2,-1,-1,-1,-1,-1,-1
Raphael Guzzo,R,CM,M,M,69,64,64,70,71,58,63,3,-1,-1,-1,-1,-1,-1
Lucas Licht,L,LB,M,M,69,64,61,65,72,68,66,3,-1,-1,-1,-1,-1,-1
Hanno Behrens,R,CM,H,H,69,58,68,63,64,70,79,3,-1,-1,-1,-1,-1,-1
Fernando Tobio,R,CB,M,M,69,58,30,53,45,67,79,2,-1,-1,-1,-1,-1,-1
Luis Chavez,L,CM,H,H,69,68,65,70,71,62,57,3,-1,-1,-1,-1,-1,-1
Christian Oliva,R,CM,L,H,69,58,59,68,68,69,66,2,-1,-1,-1,-1,-1,-1
Phillipp Steinhart,L,LB,M,M,69,73,55,68,62,62,74,2,-1,-1,-1,-1,-1,-1
Abdulelah Al Malki,R,CM,M,M,69,74,60,65,68,69,77,2,-1,-1,-1,-1,-1,-1
Franco Moyano,R,CM,M,H,69,68,54,67,70,65,71,3,-1,-1,-1,-1,-1,-1
Joher Khadim Rassoul,R,CB,H,H,69,78,46,57,66,66,79,3,-1,-1,-1,-1,-1,-1
Victor Ruiz Abril,R,CAM,M,M,69,71,59,68,75,46,51,4,-1,-1,-1,-1,-1,-1
Jonny Hayes,L,LWB,H,H,69,82,60,64,70,64,71,3,-1,-1,-1,-1,-1,-1
Douglas Pereira dos Santos,R,RB,H,M,69,70,64,70,73,66,60,3,-1,-1,-1,-1,-1,-1
Eduardo Lopez,L,CAM,M,L,69,68,69,68,72,34,61,3,-1,-1,-1,-1,-1,-1
Andres Tello,R,CM,H,H,69,85,58,68,73,61,81,3,-1,-1,-1,-1,-1,-1
Mohamed Drager,R,RB,M,M,69,80,59,60,67,64,62,3,-1,-1,-1,-1,-1,-1
Matej Hanousek,L,LB,H,H,69,84,44,59,66,62,74,2,-1,-1,-1,-1,-1,-1
Ante Coric,R,CAM,M,L,69,67,65,69,72,40,57,3,-1,-1,-1,-1,-1,-1
Jake Clarke-Salter,L,CB,M,H,69,67,33,50,44,72,71,2,-1,-1,-1,-1,-1,-1
Marwane Saadane,R,CB,M,M,69,59,49,59,61,66,81,2,-1,-1,-1,-1,-1,-1
Todd Kane,R,RWB,H,M,69,74,51,59,65,64,64,3,-1,-1,-1,-1,-1,-1
Lyndon Dykes,R,ST,H,M,69,68,68,50,65,29,81,2,-1,-1,-1,-1,-1,-1
Rey Manaj,R,ST,M,M,69,69,69,53,66,28,69,3,-1,-1,-1,-1,-1,-1
Carlos Pita Gonzalez,R,CDM,M,M,69,30,70,70,63,68,68,2,-1,-1,-1,-1,-1,-1
Kelvin Leerdam,R,RB,M,M,69,70,57,64,68,65,75,3,-1,-1,-1,-1,-1,-1
Hosam Aiesh,R,RM,M,M,69,85,57,62,71,43,74,4,-1,-1,-1,-1,-1,-1
Benno Schmitz,R,RB,M,M,69,60,50,63,64,69,70,2,-1,-1,-1,-1,-1,-1
Agustin Almendra,R,CM,M,M,69,65,58,67,68,60,61,3,-1,-1,-1,-1,-1,-1
Jose Machin,R,CM,H,M,69,64,56,69,71,54,63,3,-1,-1,-1,-1,-1,-1
Tom Lees,R,CB,L,M,69,54,36,54,61,70,73,2,-1,-1,-1,-1,-1,-1
Billel Omrani,L,ST,M,L,69,69,66,67,68,33,79,3,-1,-1,-1,-1,-1,-1
Pedro Miguel Lopes Pereira,R,RM,M,M,69,72,39,66,71,69,61,3,-1,-1,-1,-1,-1,-1
Tatsuya Tanaka,R,LM,H,H,69,83,61,65,67,54,70,3,-1,-1,-1,-1,-1,-1
Francisco Jimenez Tejada,R,ST,M,M,69,32,73,52,62,33,80,2,-1,-1,-1,-1,-1,-1
Sebastian Saez,R,ST,H,L,69,67,68,49,67,25,68,3,-1,-1,-1,-1,-1,-1
Seok Jong Han,R,CDM,L,H,69,65,49,63,63,64,73,2,-1,-1,-1,-1,-1,-1
Maximiliano Coronel,R,CB,M,M,69,50,44,50,49,69,71,2,-1,-1,-1,-1,-1,-1
